feature,gbdt_null_pct,gbdt_label,mlp_null_pct,mlp_label,linear_null_pct,linear_label
Wind_Speed_kmh,1.0,keep,1.0,keep,1.0,keep
Crop_Growth_Stage,1.0,keep,1.0,keep,1.0,keep
Soil_Moisture,1.0,keep,1.0,keep,1.0,keep
Electrical_Conductivity,1.0,keep,0.0,drop,0.0,drop
Temperature_C,1.0,keep,1.0,keep,1.0,keep
Rainfall_mm,1.0,keep,1.0,keep,1.0,keep
Mulching_Used,1.0,keep,1.0,keep,1.0,keep
Humidity,0.92,drop,0.0,drop,0.0,drop
Season,0.68,drop,0.0,drop,0.0,drop
Field_Area_hectare,0.64,drop,0.0,drop,0.0,drop
Previous_Irrigation_mm,0.6,drop,0.96,borderline,1.0,keep
Region,0.5,drop,0.0,drop,0.0,drop
Crop_Type,0.5,drop,0.0,drop,1.0,keep
Sunlight_Hours,0.36,drop,1.0,keep,0.0,drop
Irrigation_Type,0.34,drop,0.02,drop,1.0,keep
Organic_Carbon,0.32,drop,0.0,drop,0.0,drop
Soil_Type,0.24,drop,1.0,keep,0.0,drop
Soil_pH,0.16,drop,0.0,drop,1.0,keep
Water_Source,0.02,drop,1.0,keep,0.0,drop
